"GEOID10","pop10"
"421010353011003",472
"421010353013004",180
"421010353013000",133
"421010362023011",199
"421010172013014",119
"421010172011007",142
"421010202004005",146
"421010202004003",0
"421010202004006",115
"421010202001007",104
"421010172013009",94
"421010173001002",97
"421010173002003",0
"421010202001014",72
"421010202001017",42
"421010169011006",111
"421010168002000",89
"421010367002016",86
"421010367002024",0
"421010382003017",0
"421010382003038",0
"421010294002002",44
"421010294002010",129
"421010294002005",88
"421010294003006",70
"421010379005001",55
"421010379005004",72
"421010379006003",0
"421010379006006",103
"421010184001006",0
"421010184001007",0
"421010033002052",3
"421010183003008",52
"421010289023002",174
"421010290001006",277
"421010290002000",148
"421010291002006",449
"421010292001016",185
"421010291004004",251
"421010289011000",186
"421010289011007",182
"421010383001011",0
"421010289022006",254
"421010289022008",254
"421010162001003",30
"421010157001000",16
"421010157002000",99
"421010161001014",95
"421010161001007",33
"421010161004008",28
"421010157002010",51
"421010157002006",129
"421010157002011",71
"421010157003025",19
"421010157003003",0
"421010157003026",0
"421010158005004",132
"421010158005005",38
"421010161001047",20
"421010157003030",3
"421010158001000",68
"421010158005002",77
"421010161003009",116
"421010161003008",102
"421010161004003",58
"421010184002017",78
"421010184002007",9
"421010184002008",43
"421010184002032",0
"421010180023009",83
"421010180024003",49
"421010180023013",166
"421010180024000",0
"421010180024013",86
"421010180021006",159
"421010378002076",0
"421010379004010",3
"421010379004007",36
"421010341003008",59
"421010340003003",62
"421010340003001",56
"421010340003006",65
"421010338005006",106
"421010340002008",76
"421010338005000",156
"421010341002006",340
"421010340002001",76
"421010340001011",54
"421010336005001",135
"421010336004003",105
"421010336004006",57
"421010337024005",78
"421010337024004",65
"421010336005002",108
"421010336005007",142
"421010336001006",58
"421010289021006",184
"421010191004009",0
"421010383001028",78
"421010195021009",16
"421010195011013",33
"421010176023003",173
"421010195013007",244
"421010195013010",75
"421010176023000",93
"421010383001047",0
"421010195012000",203
"421010161001029",32
"421010161001030",17
"421010160005009",0
"421010160005007",74
"421010158001015",128
"421010160002009",61
"421010160002008",30
"421010160003017",66
"421010160006006",78
"421010160006002",0
"421010355003012",106
"421010360001033",231
"421019809001110",0
"421010355001012",165
"421010078003001",0
"421010308003003",118
"421010308003014",152
"421010310002000",83
"421010338003006",62
"421010338002005",79
"421010338001010",113
"421010310001005",137
"421010311014000",182
"421010310005000",127
"421010310005004",112
"421010311014005",220
"421010311013000",21
"421010311024001",110
"421010311024008",132
"421010192005004",0
"421010176023028",0
"421010313006004",192
"421010336004009",127
"421010336003009",133
"421010310001004",73
"421010335001013",117
"421010335002010",14
"421010335001007",27
"421010336002009",75
"421010336002001",74
"421010177025006",0
"421010177024002",223
"421010177021002",101
"421010177024010",56
"421010177021006",119
"421010179005012",0
"421010161003003",0
"421010160003016",46
"421010160003025",41
"421010160006000",36
"421010378001021",0
"421010378001014",68
"421010378001008",0
"421010378002022",0
"421010344004004",72
"421010344004002",12
"421010356021014",93
"421010356021015",80
"421010356021011",39
"421010356022009",154
"421010356022014",154
"421010356022013",130
"421010356012002",76
"421010357011007",414
"421010335002018",100
"421010314011006",172
"421010180011019",0
"421010378001036",0
"421010378001037",0
"421010291002008",183
"421010291004000",227
"421010291003006",127
"421010291003004",0
"421010292001022",138
"421010164001001",227
"421010164002001",118
"421010011021014",48
"421010011021015",92
"421010018002029",86
"421010024003002",41
"421010024004004",83
"421010024003012",52
"421010024004011",23
"421010023002001",119
"421010023002002",60
"421010015002033",70
"421010018002001",79
"421010010011008",640
"421010010012003",0
"421019800001011",0
"421010010012011",71
"421010010022005",50
"421010380002009",2
"421010380002015",82
"421010380002018",92
"421010183003001",0
"421010183003023",96
"421010183003019",120
"421010183003026",0
"421010183003027",55
"421010183004002",77
"421010183001009",0
"421010183002008",84
"421010183001016",0
"421010281001005",0
"421010281001006",134
"421010281001013",140
"421010281002001",27
"421010281001011",135
"421010280003001",67
"421010281002010",0
"421010280003014",0
"421010281002009",154
"421010281003002",74
"421010281003004",191
"421010281003009",0
"421010204001005",8
"421010280002008",130
"421010204001001",112
"421010204001010",0
"421010204003007",56
"421010204004002",150
"421010205001034",92
"421010205002004",17
"421010179005014",0
"421010177012009",131
"421010178001003",39
"421010178001002",191
"421010178002002",156
"421010192004012",174
"421010178003006",114
"421010179004006",25
"421010179001006",91
"421010179004003",106
"421010179004012",149
"421010365013001",323
"421010342002000",560
"421010381001017",0
"421010312003010",0
"421010348012000",239
"421010355001005",101
"421010348031005",0
"421010349001002",0
"421010365021005",277
"421010361001011",0
"421010353011011",0
"421010093005003",84
"421010093005007",129
"421010094002006",125
"421010103002006",99
"421010085007002",52
"421010378002025",0
"421010110001005",69
