"warddiv13","warddiv19","pop10","frac_of_g1","frac_of_g2"
"0101","0101",878,1,1
"0102","0102",834,1,1
"0103","0103",759,1,1
"0104","0104",1006,1,1
"0105","0105",807,1,1
"0106","0106",762,1,1
"0107","0107",843,1,1
"0108","0108",1152,1,1
"0109","0109",935,1,1
"0110","0110",1124,1,1
"0111","0111",793,1,1
"0112","0112",1182,1,1
"0113","0113",1091,1,1
"0114","0114",1054,1,1
"0115","0115",931,1,1
"0116","0116",839,1,1
"0117","0117",918,1,1
"0118","0118",808,1,1
"0119","0119",580,1,0.885496183206107
"0120","0120",763,1,1
"0121","0119",75,0.0916870415647922,0.114503816793893
"0121","0121",743,0.908312958435208,1
"0201","0201",933,1,1
"0202","0202",628,1,1
"0203","0203",706,1,1
"0204","0204",1000,1,1
"0205","0205",985,1,1
"0206","0206",770,1,1
"0207","0207",923,1,1
"0208","0208",761,1,1
"0209","0209",754,1,1
"0210","0210",822,1,1
"0211","0211",913,1,1
"0212","0212",797,1,1
"0213","0213",509,1,1
"0214","0214",904,1,1
"0215","0215",1017,1,1
"0216","0216",986,1,1
"0217","0217",762,1,1
"0218","0218",687,1,1
"0219","0219",822,1,1
"0220","0220",358,1,1
"0221","0221",608,1,1
"0222","0222",882,1,1
"0223","0223",847,1,1
"0224","0224",735,1,1
"0225","0225",885,1,1
"0226","0226",1193,1,1
"0227","0227",1328,1,1
"0301","0301",777,1,1
"0302","0302",929,1,1
"0303","0303",846,1,1
"0304","0304",1193,1,1
"0305","0305",708,1,1
"0306","0306",786,1,1
"0307","0307",723,1,1
"0308","0308",748,1,1
"0309","0309",779,1,1
"0310","0310",783,1,1
"0311","0311",792,1,1
"0312","0312",774,1,1
"0313","0313",680,1,1
"0314","0314",848,1,1
"0315","0315",789,1,1
"0316","0316",876,1,1
"0317","0317",807,1,1
"0318","0318",884,1,1
"0319","0319",934,1,1
"0320","0320",709,1,1
"0321","0321",656,1,1
"0322","0322",740,1,1
"0401","0401",805,1,1
"0402","0402",1106,1,1
"0403","0403",1016,1,1
"0404","0404",670,1,1
"0405","0405",921,1,1
"0406","0406",951,1,1
"0407","0407",1074,1,1
"0408","0408",1073,1,1
"0409","0409",804,1,1
"0410","0410",827,1,1
"0411","0411",994,1,1
"0412","0412",865,1,1
"0413","0413",1082,1,1
"0414","0414",815,1,1
"0415","0415",903,1,1
"0416","0416",950,1,1
"0417","0417",781,1,1
"0418","0418",834,1,1
"0419","0419",678,1,1
"0420","0420",910,1,1
"0421","0421",679,1,1
"0501","0501",1095,1,1
"0502","0502",832,1,1
"0503","0503",769,1,0.865990990990991
"0504","0504",1170,1,1
"0505","0505",1137,1,1
"0506","0506",1288,1,1
"0507","0507",993,1,1
"0508","0508",1164,1,1
"0509","0509",1483,1,1
"0510","0510",390,0.84051724137931,0.401647785787848
"0510","0530",74,0.15948275862069,0.122314049586777
"0511","0511",1807,1,1
"0512","0512",1779,1,1
"0513","0513",836,1,1
"0514","0514",983,1,1
"0515","0515",611,1,1
"0516","0516",626,0.760631834750911,1
"0516","0527",143,0.173754556500608,0.140471512770138
"0516","0530",54,0.0656136087484812,0.0892561983471074
"0517","0517",742,0.471111111111111,1
"0517","0532",833,0.528888888888889,1
"0518","0518",1810,1,1
"0519","0503",119,0.0892723180795199,0.134009009009009
"0519","0519",1214,0.91072768192048,1
"0520","0520",522,1,1
"0521","0521",716,0.33086876155268,1
"0521","0533",936,0.432532347504621,1
"0521","0534",512,0.236598890942699,1
"0522","0522",732,1,1
"0523","0523",902,1,1
"0524","0524",3835,1,1
"0524","0531",0,0,0
"0525","0525",1184,0.555868544600939,1
"0525","0531",946,0.444131455399061,0.995789473684211
"0526","0510",581,0.400966183574879,0.598352214212152
"0526","0526",865,0.59696342305038,1
"0526","0530",3,0.0020703933747412,0.00495867768595041
"0527","0527",875,0.646711012564671,0.859528487229863
"0527","0530",474,0.350332594235033,0.783471074380165
"0527","0531",4,0.00295639320029564,0.00421052631578947
"0528","0528",917,1,1
"0529","0529",1127,1,1
"0601","0601",922,1,1
"0602","0602",642,1,1
"0603","0603",841,1,1
"0604","0604",1121,1,1
"0605","0605",495,1,1
"0606","0606",477,1,1
"0607","0607",788,1,1
"0607","2408",0,0,0
"0608","0608",522,1,1
"0609","0609",612,1,1
"0610","0610",459,1,1
"0611","0611",1224,1,1
"0612","0612",630,1,1
"0613","0613",631,1,1
"0614","0614",779,1,1
"0615","0615",903,1,1
"0616","0616",783,1,1
"0617","0617",863,1,1
"0618","0618",1214,1,1
"0701","0701",965,1,1
"0702","0702",784,0.824395373291272,0.964329643296433
"0702","0717",167,0.175604626708728,0.183920704845815
"0703","0702",29,0.0405027932960894,0.035670356703567
"0703","0703",687,0.959497206703911,1
"0704","0704",1032,1,1
"0705","0705",1522,1,1
"0706","0706",1207,1,0.980503655564582
"0707","0706",24,0.0200501253132832,0.0194963444354184
"0707","0707",1173,0.979949874686717,1
"0708","0708",1039,1,1
"0709","0709",764,1,1
"0710","0710",1717,1,1
"0711","0711",1307,1,1
"0712","0712",1331,1,1
"0713","0713",957,1,1
"0714","0714",965,1,1
"0715","0715",655,1,1
"0716","0716",1062,1,1
"0717","0717",741,1,0.816079295154185
"0718","0718",1219,1,1
"0719","0719",1055,1,1
"0720","0720",853,1,1
"0721","0721",1076,1,1
"0722","0722",964,1,1
"0723","0723",808,1,1
"0801","0801",916,1,1
"0802","0802",855,1,1
"0803","0803",1165,1,1
"0804","0804",1124,1,1
"0805","0805",1567,1,1
"0806","0806",757,1,1
"0807","0807",936,1,1
"0808","0808",1238,1,1
"0809","0809",1264,1,1
"0810","0810",1060,1,1
"0811","0811",872,1,1
"0812","0812",1149,1,1
"0813","0813",794,1,1
"0814","0814",1683,1,1
"0815","0815",1607,1,1
"0816","0816",580,1,1
"0817","0817",1377,1,1
"0818","0818",849,1,1
"0819","0819",1104,1,1
"0820","0820",885,1,1
"0821","0821",777,1,1
"0822","0822",1457,1,1
"0823","0823",1188,1,1
"0824","0819",0,0,0
"0824","0822",0,0,0
"0824","0824",1561,1,1
"0825","0825",1260,1,1
"0826","0826",1816,1,1
"0827","0827",1146,1,1
"0828","0828",869,1,1
"0829","0829",925,1,1
"0830","0830",1194,1,1
"0901","0901",786,1,1
"0902","0902",819,1,1
"0903","0903",1144,1,1
"0904","0904",885,1,1
"0905","0905",934,0.929353233830846,1
"0905","0906",71,0.0706467661691542,0.0774263904034896
"0906","0906",846,1,0.92257360959651
"0907","0907",1332,1,1
"0908","0908",624,1,1
"0909","0909",1044,1,1
"0910","0910",996,1,1
"0911","0911",1250,1,1
"0912","0912",966,1,1
"0913","0913",805,1,1
"0914","0914",691,1,1
"0915","0915",819,1,1
"0916","0916",1005,1,1
"0917","0917",731,1,1
"1001","1001",839,1,1
"1002","1002",1019,1,1
"1003","1003",745,1,1
"1004","1004",783,1,1
"1005","1005",814,1,1
"1006","1006",744,1,1
"1007","1007",717,1,1
"1008","1008",806,1,1
"1009","1009",809,1,1
"1010","1010",720,1,1
"1011","1011",1142,1,1
"1012","1012",872,1,1
"1013","1013",912,1,1
"1014","1014",995,1,1
"1015","1015",685,1,1
"1016","1016",746,1,1
"1017","1017",729,1,1
"1018","1018",717,1,1
"1019","1019",659,1,1
"1020","1020",996,1,1
"1021","1021",970,1,1
"1022","1022",610,1,1
"1023","1023",735,1,1
"1024","1024",616,1,1
"1025","1025",753,1,1
"1026","1026",797,1,1
"1027","1027",842,1,1
"1028","1028",670,1,1
"1029","1029",687,1,1
"1101","1101",456,1,1
"1102","1102",791,1,1
"1103","1103",769,1,1
"1104","1104",277,1,1
"1105","1105",537,1,1
"1106","1106",477,1,1
"1107","1107",680,1,1
"1108","1108",802,1,1
"1109","1109",833,1,1
"1110","1110",600,1,1
"1111","1111",728,1,1
"1112","1112",539,1,1
"1113","1113",1074,1,1
"1114","1114",585,1,1
"1115","1115",441,1,1
"1116","1116",634,1,1
"1117","1117",446,1,1
"1118","1118",669,1,1
"1119","1119",781,1,1
"1120","1120",721,1,1
"1201","1201",841,1,1
"1202","1202",770,1,1
"1203","1203",716,1,1
"1204","1204",642,1,1
"1205","1205",1096,1,1
"1206","1206",722,1,1
"1207","1207",1042,1,1
"1208","1208",1074,1,1
"1209","1209",861,1,1
"1210","1210",1034,1,1
"1211","1211",941,1,1
"1212","1212",891,1,1
"1213","1213",854,1,1
"1214","1214",1248,1,1
"1215","1215",1021,1,1
"1216","1216",980,1,1
"1217","1217",1192,1,1
"1218","1218",873,1,1
"1219","1219",737,1,1
"1220","1220",771,1,1
"1221","1221",581,1,1
"1222","1222",1006,1,1
"1223","1223",950,1,1
"1224","1224",1136,1,1
